Order_ID,Artist,City,Venue,Date,Ticket_Category,Ticket_Price,Buyer_Name,Quantity,Total_Price
ORD00048527,Pamungkas,Semarang,Ciwalk,2025/05/20,Festival,127493,"Luthfi Kusmawati, S.Farm",3,382479
ORD00593395,Tiara Andini,Semarang,Ciwalk,2024-12-09,Silver,,Jasmin Aryani,3,521007
ORD00632619,Kunto Aji,Denpasar,,2024-06-05,Festival,127493,R. Adikara Usada,4,509972
ORD00802637,efek rumah kaca,Balikpapan,lapangan gasibu,04-06-2025,Festival,127493,"T. Oskar Puspasari, S.E.",5,637465
ORD00071085,Dewa 19,Medan,Trans Studio Bandung,2024-04-02,Gold,217869,Hesti Mangunsong,4,871476
ORD00156169,raisa,Surabaya,gedung kesenian jakarta,2024-06-30,VIP,253466,"Puti Rahayu Mardhiyah, M.Pd",4,
ORD00019001,Ardhito Pramono,Yogyakarta,Istora Senayan,2024-01-13,Gold,217869,H. Prakosa Uyainah,2,435738
ORD00034682,,Jakarta,Gedung Kesenian Jakarta,2023-08-28,VIP,253466,Maria Haryanti,2,506932
ORD00247604,Nadin Amizah,Jakarta,Lapangan Gasibu,2024/09/04,VIP,253466,"H. Sidiq Fujiati, S.E.",1,253466
ORD00360142,Pamungkas,Semarang,JCC,2024-12-05,Gold,217869,R. Legawa Narpati,4,871476
ORD00792348,banda neira,Jakarta,trans studio bandung,,Festival,127493,"Amelia Hutagalung, S.H.",2,254986
ORD00597765,Ardhito Pramono,Semarang,Gedung Kesenian Jakarta,,Festival,127493,Soleh Laksmiwati,3,382479
ORD00389602,pamungkas,Semarang,trans studio bandung,12-22-2024,Gold,500000000,Koko Maulana,2,435738
ORD00700969,Fourtwnty,Jakarta,Taman Budaya,2024-07-09,Silver,173669,"Ir. Galar Safitri, S.E.I",2,347338
ORD00609385,Tulus,Balikpapan,Ciwalk,2024-06-28,Gold,217869,Danu Siregar,2,435738
ORD00602169,MALIQ & D'ESSENTIALS,Surabaya,JCC,2024-06-28,Festival,127493,Faizah Permata,4,509972
ORD00767239,Nadin Amizah,Medan,Istora Senayan,,Silver,173669,"Dt. Bakiono Astuti, S.Gz",3,521007
ORD00290482,Dewa 19,Bandung,Ciwalk,2024/11/29,Festival,127493,Parman Permadi,3,382479
ORD00275695,Raisa,Denpasar,Istora Senayan,2025/04/12,Festival,127493,Baktianto Anggraini,3,382479
ORD00650418,Tiara Andini,Bandung,Jogja Expo Center,04-24-2024,VIP,253466,Mursinin Rahayu,3,760398
ORD00475470,Sal Priadi,Palembang,Jogja Expo Center,2024-12-02,Gold,217869,Septi Anggriawan,1,217869
ORD00140243,Raisa,Surabaya,Taman Budaya,2025/02/13,Silver,173669,"Faizah Fujiati, S.E.",3,521007
ORD00607628,Sal Priadi,Denpasar,Lapangan Gasibu,2024-08-04,VIP,253466,Karma Latupono,2,506932
ORD00111245,BARASUARA,Balikpapan,SABUGA,2024/02/18,,127493,"Mumpuni Susanti, S.Farm",2,254986
